To January of:,Measuring Worth  inflation index (annual),MW 2 yr smoothed,CPI-U January values fr 1913,annual_inflation_relative,nominal_stock_return,real_stock_return,nominal_bond_return,real_bond_return,real_stock_index,real_bond_index,rolling_ten_stocks,rolling_ten_bonds,rolling_thirty_stocks,rolling_thirty_bonds,rolling_fifty_stocks,rolling_fifty_bonds,rolling_hundred_stocks,rolling_hundred_bonds
1792,9.27,,,,,,,,,,,,,,,,,
1793,9.59,9.43,,,,,,,1,1,,,,,,,,
1794,10.64,10.115,,1.072640509,-0.076413391,-0.13895979,-0.072395009,-0.135213538,0.86104021,0.864786462,,,,,,,,
1795,12.17,11.405,,1.127533366,0.198080344,0.06256753,0.153204635,0.022767636,0.91491337,0.884475606,,,,,,,,
1796,12.81,12.49,,1.095133713,0.098991845,0.003522978,-0.010298655,-0.096273512,0.918136589,0.799324033,,,,,,,,
1797,12.33,12.57,,1.006405124,-0.035020047,-0.041161527,-0.060961833,-0.06693821,0.880344685,0.745818713,,,,,,,,
1798,11.92,12.125,,0.96459825,0.133346088,0.174941058,0.154601392,0.196976453,1.034353116,0.892727438,,,,,,,,
1799,11.92,11.92,,0.983092784,0.085028392,0.103688695,0.032268079,0.050021012,1.141603841,0.937382568,,,,,,,,
1800,12.17,12.045,,1.010486577,0.06099054,0.049979845,0.056153007,0.045192515,1.198661024,0.979745244,,,,,,,,
1801,12.33,12.25,,1.01701951,0.136422072,0.117404396,0.187772664,0.167895652,1.339389098,1.14424021,,,,,,,,
1802,10.39,11.36,,0.927346939,0.132193854,0.220895662,0.150025864,0.240124721,1.635254339,1.419000572,,,,,,,,
1803,10.96,10.675,,0.939700704,0.142098867,0.215385773,0.05505996,0.1227617,1.987464859,1.593199494,0.071099819,0.04767605,,,,,,
1804,11.44,11.2,,1.049180328,0.043203721,-0.005696454,0.026324618,-0.021784348,1.976143357,1.558492681,0.086624521,0.060668298,,,,,,
1805,11.36,11.4,,1.017857143,0.003124739,-0.014473941,0.010086974,-0.00763385,1.947540775,1.546595382,0.078476431,0.057472507,,,,,,
1806,11.84,11.6,,1.01754386,0.002978592,-0.014314142,0.060607783,0.042321442,1.919663399,1.612049529,0.076543986,0.072668559,,,,,,
1807,11.2,11.52,,0.993103448,0.106292293,0.113974879,0.114079268,0.12181593,2.138456802,1.808422841,0.092810284,0.092613773,,,,,,
1808,12.17,11.685,,1.014322917,0.005000639,-0.009190641,0.047660904,0.032867233,2.118803013,1.867860696,0.074341063,0.076620289,,,,,,
1809,11.92,12.045,,1.030808729,0.147440337,0.113145731,0.100647921,0.067751844,2.35853653,1.994411702,0.075258089,0.07842462,,,,,,
1810,11.92,11.92,,0.98962225,0.074889874,0.08616179,0.05203097,0.063063174,2.561752259,2.120185634,0.078907158,0.080254471,,,,,,
1811,12.73,12.325,,1.03397651,-0.021067958,-0.053235705,0.039445134,0.005288925,2.425375572,2.131399137,0.061175523,0.06417918,,,,,,
1812,12.89,12.81,,1.039350913,0.028172813,-0.010754885,-0.0148798,-0.052177481,2.399290936,2.020188099,0.039081853,0.035955079,,,,,,
1813,15.47,14.18,,1.106947697,0.103037117,-0.00353276,0.032563367,-0.067197692,2.390814818,1.884436122,0.018649199,0.016930156,,,,,,
1814,17,16.235,,1.144922426,0.073803002,-0.062117243,-0.027582784,-0.15066978,2.242303994,1.600508547,0.012715843,0.002663771,,,,,,
1815,14.91,15.955,,0.982753311,-0.074430544,-0.058187395,-0.001664057,0.015856097,2.111830165,1.625886366,0.008131635,0.005012233,,,,,,
1816,13.62,14.265,,0.894077092,0.128910842,0.262654924,0.146836713,0.282704504,2.666512756,2.085531764,0.033408092,0.026086191,,,,,,
1817,12.89,13.255,,0.929197336,0.047328346,0.127132316,0.096482111,0.180031483,3.0055127,2.460993141,0.034622237,0.031290559,,,,,,
1818,12.33,12.61,,0.951339117,0.24841695,0.312273328,0.156631468,0.21579303,3.944054154,2.992058306,0.064106825,0.048244414,,,,,,
1819,12.33,12.33,,0.9777954,-0.137101462,-0.117506037,-0.001187925,0.021493938,3.48060398,3.056369423,0.039683617,0.043612094,,,,,,
1820,11.36,11.845,,0.960665045,-0.051594494,-0.012761512,0.086929826,0.131434762,3.436186212,3.45808261,0.029802534,0.050137453,,,,,,
1821,10.96,11.16,,0.942169692,0.064005476,0.129314056,0.104051599,0.171818207,3.880533387,4.052244163,0.048120566,0.066358124,,,,,,
1822,11.36,11.16,,1,0.118896271,0.118896271,0.063793853,0.063793853,4.341914336,4.31075243,0.061108598,0.078738372,,,,,,
1823,10.15,10.755,,0.963709677,-0.039605887,-0.003440419,0.028393967,0.067120099,4.326976332,4.600090562,0.061118431,0.093348205,0.050040743,0.052185258,,,,
1824,9.35,9.75,,0.906555091,0.072505914,0.183056523,0.058464886,0.167568189,5.119057575,5.370919409,0.086049331,0.1287014,0.061220309,0.062766831,,,,
1825,9.59,9.47,,0.971282051,0.14344615,0.177254484,0.078532431,0.110421458,6.026433484,5.963984158,0.110555169,0.138792581,0.064852234,0.065683776,,,,
1826,9.59,9.59,,1.012671595,0.022985465,0.010184812,0.006023292,-0.006565112,6.087811579,5.924829934,0.086054836,0.110058606,0.065087114,0.069051024,,,,
1827,9.67,9.63,,1.004171011,0.052995354,0.048621542,0.054916063,0.050534273,6.383810365,6.224236905,0.078241743,0.097229742,0.068269693,0.073285086,,,,
